timestamp,timestamp_ms,event_date,hour_of_day,day_of_week,src_ip,dst_ip,reliability,severity,classtype,attack_status,dns_query,dns_qtype_name
2025-07-07 09:03:03.778,1751878983778,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 09:03:03.776,1751878983776,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 09:03:02.775,1751878982775,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 09:03:02.775,1751878982775,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 09:02:41.676,1751878961676,2025-07-07,9,Monday,172.16.47.28,202.118.66.6,5,2,encrypted-proxy,attempt,auth.pgyapi.com,AAAA
2025-07-07 09:02:22.751,1751878942751,2025-07-07,9,Monday,172.16.76.142,202.118.66.6,1,2,weird-behavior,attempt,client.teamviewer.com,A
2025-07-07 09:02:04.405,1751878924405,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 09:02:04.405,1751878924405,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 09:02:04.404,1751878924404,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 09:02:03.388,1751878923388,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 09:02:02.382,1751878922382,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
2025-07-07 09:02:02.381,1751878922381,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,AAAA
2025-07-07 09:02:02.381,1751878922381,2025-07-07,9,Monday,172.29.31.8,202.118.66.6,7,4,threat-intelligence-alarm,attempt,auto.skypool.xyz,A
